                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0186,                 1.2203,                 1.3618,                0.69039,                    0.5,                0.57186,                0.36176,                 1.4679,                 2.1313,                  1.951,              0.0013466,              0.0013466,              0.0013466
                     35,                0.90996,                0.96963,                  1.173,                0.70397,                0.48659,                0.53839,                0.32571,                 1.4866,                  2.285,                  1.827,              0.0013268,              0.0013268,              0.0013268
                     36,                0.92928,                0.93648,                  1.169,                0.70369,                0.43182,                0.52095,                0.27598,                 1.4919,                 2.7561,                 1.9344,               0.001307,               0.001307,               0.001307
                     37,                 1.0843,                 1.1608,                 1.3162,                0.70369,                0.43182,                0.52095,                0.27598,                 1.4919,                 2.7561,                 1.9344,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.3482,                 1.3387,                 1.7803,                0.51691,                0.47727,                0.46227,                0.27345,                 1.4755,                 2.5065,                  1.866,              0.0012674,              0.0012674,              0.0012674
                     39,                0.97695,                 1.0906,                 1.1523,                0.44372,                0.52273,                0.40508,                0.21865,                 1.6126,                 2.2884,                 2.1012,              0.0012476,              0.0012476,              0.0012476
                     40,                  0.968,                 1.0142,                 1.2245,                 0.4522,                0.61918,                0.48336,                0.24133,                  1.639,                 2.2264,                 2.1876,              0.0012278,              0.0012278,              0.0012278
                     41,                0.95023,                 1.7967,                 1.1134,                 0.4522,                0.61918,                0.48336,                0.24133,                  1.639,                 2.2264,                 2.1876,               0.001208,               0.001208,               0.001208
                     42,                0.95167,                0.99238,                  1.099,                0.56911,                0.59091,                0.48539,                0.26407,                 1.5246,                 2.0719,                 2.0184,              0.0011882,              0.0011882,              0.0011882
                     43,                 0.9203,                0.96815,                  1.281,                0.47194,                0.59091,                0.40784,                0.21126,                 1.5248,                 2.3394,                 1.9615,              0.0011684,              0.0011684,              0.0011684
                     44,                0.97518,                0.94635,                 1.1564,                0.42164,                0.67936,                 0.4009,                0.20978,                 1.5977,                 2.4123,                 1.9837,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.0296,                 1.0617,                 1.1859,                0.42164,                0.67936,                 0.4009,                0.20978,                 1.5977,                 2.4123,                 1.9837,              0.0011288,              0.0011288,              0.0011288
                     46,                0.89875,                0.93822,                 1.1147,                0.51833,                0.61364,                0.44512,                 0.2288,                 1.6432,                 2.2516,                 1.9357,               0.001109,               0.001109,               0.001109
                     47,                0.95305,                 1.0661,                 1.1644,                0.51081,                0.71204,                0.49952,                0.26053,                 1.5738,                 1.8546,                 1.9808,              0.0010892,              0.0010892,              0.0010892
                     48,                0.76123,                0.94613,                 1.0634,                0.49159,                0.72727,                0.49426,                0.28347,                 1.5463,                 1.7299,                 1.9718,              0.0010694,              0.0010694,              0.0010694
                     49,                0.82897,                 0.8252,                 1.1398,                0.49159,                0.72727,                0.49426,                0.28347,                 1.5463,                 1.7299,                 1.9718,              0.0010496,              0.0010496,              0.0010496
                     50,                0.79613,                0.89924,                 1.1628,                0.46017,                0.63636,                0.49064,                0.28301,                 1.5438,                 1.7424,                 1.9746,              0.0010298,              0.0010298,              0.0010298
                     51,                    0.8,                0.86562,                 1.0363,                 0.5382,                0.55636,                0.47021,                0.26826,                 1.6136,                 1.7969,                 2.0601,                0.00101,                0.00101,                0.00101
                     52,                0.72868,                 1.2844,                 1.0588,                0.52962,                0.52273,                0.41641,                0.24132,                 1.6634,                  1.964,                 2.1316,              0.0009902,              0.0009902,              0.0009902
                     53,                0.96959,                 1.2086,                 1.2145,                0.52962,                0.52273,                0.41641,                0.24132,                 1.6634,                  1.964,                 2.1316,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.0885,                 1.0958,                 1.3891,                 0.5694,                0.48093,                0.44064,                0.25655,                 1.6624,                 1.9131,                  2.201,              0.0009506,              0.0009506,              0.0009506
                     55,                0.78644,                0.86716,                 1.1841,                0.61671,                0.51211,                0.48817,                0.27243,                 1.5983,                 1.8867,                 2.1057,              0.0009308,              0.0009308,              0.0009308
                     56,                0.82751,                 0.9216,                 1.2034,                0.50192,                0.59091,                0.49046,                0.27983,                 1.5621,                 1.8527,                 1.9963,               0.000911,               0.000911,               0.000911
                     57,                0.71464,                0.85274,                 1.0204,                0.50192,                0.59091,                0.49046,                0.27983,                 1.5621,                 1.8527,                 1.9963,              0.0008912,              0.0008912,              0.0008912
                     58,                0.86009,                0.84989,                 1.1557,                0.48495,                0.65909,                0.51647,                0.29255,                 1.5737,                 1.8144,                 1.9516,              0.0008714,              0.0008714,              0.0008714
                     59,                0.78788,                0.86392,                 1.0824,                0.66418,                0.53951,                0.54333,                0.29208,                 1.5686,                 1.8291,                 1.9352,              0.0008516,              0.0008516,              0.0008516
                     60,                0.74122,                 1.0132,                 1.1457,                0.56655,                0.59417,                0.55376,                0.29287,                 1.4945,                 1.8776,                 1.8925,              0.0008318,              0.0008318,              0.0008318
                     61,                  0.597,                 1.4034,                 1.0439,                0.56655,                0.59417,                0.55376,                0.29287,                 1.4945,                 1.8776,                 1.8925,               0.000812,               0.000812,               0.000812
                     62,                0.50701,                 5.1103,                0.72712,                0.53654,                 0.6578,                0.48868,                0.26737,                 1.4584,                 1.9802,                 1.8957,              0.0007922,              0.0007922,              0.0007922
                     63,                0.72878,                0.67905,                 1.0299,                0.45181,                0.61364,                0.40948,                0.23342,                 1.4637,                 2.0659,                 1.8968,              0.0007724,              0.0007724,              0.0007724
                     64,                0.87068,                0.97266,                 1.2037,                0.44328,                0.54545,                0.37596,                0.21187,                 1.4696,                 2.0663,                 1.8946,              0.0007526,              0.0007526,              0.0007526
                     65,                0.82053,                 0.7805,                 1.0818,                0.44328,                0.54545,                0.37596,                0.21187,                 1.4696,                 2.0663,                 1.8946,              0.0007328,              0.0007328,              0.0007328
                     66,                0.75281,                0.83297,                 1.1277,                0.44617,                0.56818,                0.37798,                 0.2227,                 1.4045,                 1.9695,                 1.7705,               0.000713,               0.000713,               0.000713
                     67,                0.66404,                 0.7415,                 1.0487,                 0.4365,                0.68182,                 0.4941,                0.30407,                 1.3372,                 1.7177,                 1.7011,              0.0006932,              0.0006932,              0.0006932
                     68,                0.67745,                0.70864,                 1.0957,                0.52737,                0.68182,                0.57336,                0.38353,                 1.2629,                 1.6157,                 1.6553,              0.0006734,              0.0006734,              0.0006734
