                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1033,                 1.3203,                 1.2292,                0.29703,                0.14344,                0.10347,                0.04208,                 1.8044,                  3.071,                 2.1262,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.0364,                 1.2022,                 1.1861,                0.52414,                 0.2623,                0.22275,                0.11862,                 1.7924,                 2.8274,                 2.0649,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.0262,                   1.13,                 1.1781,                0.43666,                0.23826,                0.19709,                0.09554,                 1.7842,                 2.8653,                 2.0456,               0.001307,               0.001307,               0.001307
                     37,                 1.0641,                 1.1303,                 1.1784,                0.43666,                0.23826,                0.19709,                0.09554,                 1.7842,                 2.8653,                 2.0456,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.0356,                 1.0945,                 1.2172,                 0.4574,                 0.2073,                0.16549,                0.07074,                 1.8256,                 3.0301,                 2.0396,              0.0012674,              0.0012674,              0.0012674
                     39,                0.94522,                 1.1169,                   1.11,                0.45202,                0.20285,                0.16175,                  0.072,                 1.8256,                 3.0635,                 1.9929,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.0895,                 1.3597,                 1.2268,                0.44558,                 0.2623,                0.21777,                0.10662,                 1.6891,                 2.8599,                 1.8832,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.1097,                 1.1578,                  1.311,                0.44558,                 0.2623,                0.21777,                0.10662,                 1.6891,                 2.8599,                 1.8832,               0.001208,               0.001208,               0.001208
                     42,                 1.0001,                 1.1281,                 1.1995,                0.36506,                0.24507,                0.16498,                0.07161,                 1.8577,                 2.9677,                 1.9626,              0.0011882,              0.0011882,              0.0011882
                     43,                0.98655,                 1.0383,                 1.1506,                 0.2142,                0.17623,                 0.1021,                0.04204,                 1.9201,                 3.2767,                 1.9528,              0.0011684,              0.0011684,              0.0011684
                     44,                  1.076,                 1.1253,                 1.1796,                0.29321,                0.11885,                0.11024,                0.05268,                  1.843,                 3.1863,                 1.8661,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.1249,                 1.1127,                 1.2231,                0.29321,                0.11885,                0.11024,                0.05268,                  1.843,                 3.1863,                 1.8661,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.0209,                 1.0462,                 1.1602,                0.25068,                0.15984,                0.10919,                0.05403,                 1.7024,                 3.1077,                 1.7526,               0.001109,               0.001109,               0.001109
                     47,                 1.0497,                 1.0408,                 1.1365,                0.30878,                0.18443,                0.13361,                0.06505,                  1.742,                 3.1182,                 1.7812,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.0668,                 1.1815,                 1.2138,                0.39807,                0.17889,                0.15844,                0.07827,                 1.7752,                 3.1059,                 1.8285,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.0186,                 1.7191,                   1.18,                0.39807,                0.17889,                0.15844,                0.07827,                 1.7752,                 3.1059,                 1.8285,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.0077,                0.99519,                 1.1319,                0.48537,                0.17623,                0.15946,                0.07706,                 1.8783,                 3.1398,                  1.944,              0.0010298,              0.0010298,              0.0010298
                     51,                0.97853,                0.92845,                  1.121,                0.35642,                0.20902,                0.16298,                0.07538,                 1.9063,                 3.1629,                 2.0244,                0.00101,                0.00101,                0.00101
                     52,                 0.9467,                 1.0102,                  1.187,                0.42249,                0.20492,                0.16957,                0.07779,                 1.9047,                 3.1542,                 2.0549,              0.0009902,              0.0009902,              0.0009902
                     53,                0.90718,                0.94848,                 1.1138,                0.42249,                0.20492,                0.16957,                0.07779,                 1.9047,                 3.1542,                 2.0549,              0.0009704,              0.0009704,              0.0009704
                     54,                0.98896,                0.96488,                 1.1208,                0.48189,                0.21728,                0.17738,                0.08117,                 1.8828,                 3.0812,                  2.068,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.1622,                 1.4038,                 1.3963,                0.44181,                 0.2418,                0.19823,                0.09758,                   1.88,                 3.0152,                 2.0227,              0.0009308,              0.0009308,              0.0009308
                     56,                 0.8761,                0.89529,                 1.1073,                0.39773,                0.26639,                0.19967,                0.10614,                 1.7992,                  2.899,                 1.9042,               0.000911,               0.000911,               0.000911
                     57,                 0.9122,                0.87419,                 1.0467,                0.39773,                0.26639,                0.19967,                0.10614,                 1.7992,                  2.899,                 1.9042,              0.0008912,              0.0008912,              0.0008912
                     58,                0.89306,                0.86932,                 1.1013,                0.42449,                0.22541,                0.19812,                0.10928,                 1.8232,                 2.8478,                 1.9384,              0.0008714,              0.0008714,              0.0008714
                     59,                0.84225,                0.91638,                 1.0025,                0.36747,                0.28572,                0.20682,                0.11163,                 1.8168,                 2.8009,                 1.9564,              0.0008516,              0.0008516,              0.0008516
                     60,                0.94562,                0.94458,                 1.1381,                 0.3824,                0.30738,                0.22633,                0.12118,                 1.7421,                 2.7062,                  1.888,              0.0008318,              0.0008318,              0.0008318
                     61,                0.91749,                0.96017,                 1.1228,                 0.3824,                0.30738,                0.22633,                0.12118,                 1.7421,                 2.7062,                  1.888,               0.000812,               0.000812,               0.000812
                     62,                0.90368,                 1.0209,                 1.1279,                0.40094,                0.33607,                0.23563,                0.12845,                 1.7004,                 2.6763,                 1.8339,              0.0007922,              0.0007922,              0.0007922
                     63,                0.83489,                0.77287,                 1.0375,                0.47515,                0.30328,                0.25903,                0.13684,                 1.6452,                 2.5874,                 1.7835,              0.0007724,              0.0007724,              0.0007724
                     64,                0.91947,                0.80595,                 1.0298,                0.53414,                0.31557,                0.27875,                0.14552,                 1.6094,                 2.5013,                 1.7549,              0.0007526,              0.0007526,              0.0007526
                     65,                0.89239,                0.95578,                 1.1204,                0.53414,                0.31557,                0.27875,                0.14552,                 1.6094,                 2.5013,                 1.7549,              0.0007328,              0.0007328,              0.0007328
                     66,                0.81515,                0.84814,                 1.0605,                0.55565,                0.29726,                0.28099,                0.15127,                 1.6001,                 2.4813,                 1.7499,               0.000713,               0.000713,               0.000713
                     67,                0.79079,                0.77971,                0.98606,                 0.3878,                0.36066,                0.28667,                0.16116,                 1.6127,                 2.4781,                 1.7769,              0.0006932,              0.0006932,              0.0006932
                     68,                0.78213,                0.77838,                 1.0735,                0.37239,                0.37936,                0.28397,                0.16355,                  1.644,                 2.5304,                 1.7947,              0.0006734,              0.0006734,              0.0006734
                     69,                0.84711,                0.86172,                 1.1309,                0.37239,                0.37936,                0.28397,                0.16355,                  1.644,                 2.5304,                 1.7947,              0.0006536,              0.0006536,              0.0006536
                     70,                0.76019,                0.74797,                0.99406,                 0.4012,                0.32787,                0.28447,                0.16601,                 1.6613,                 2.5764,                 1.8023,              0.0006338,              0.0006338,              0.0006338
                     71,                0.76718,                0.77311,                 1.0444,                0.42683,                0.32657,                0.27575,                0.15993,                 1.6787,                 2.6522,                 1.8282,               0.000614,               0.000614,               0.000614
                     72,                0.84944,                0.84418,                 1.0769,                0.42176,                0.35274,                0.27192,                0.15777,                 1.7028,                 2.7422,                 1.8424,              0.0005942,              0.0005942,              0.0005942
                     73,                0.81268,                0.75764,                 1.0591,                0.42176,                0.35274,                0.27192,                0.15777,                 1.7028,                 2.7422,                 1.8424,              0.0005744,              0.0005744,              0.0005744
                     74,                0.79018,                 0.7684,                 1.0355,                0.41744,                0.34426,                0.26746,                0.15202,                 1.7108,                 2.8417,                 1.8417,              0.0005546,              0.0005546,              0.0005546
                     75,                0.78618,                0.82024,                 1.0393,                0.43502,                0.31873,                0.25864,                0.14296,                 1.7186,                 2.8991,                 1.8458,              0.0005348,              0.0005348,              0.0005348
                     76,                0.81733,                0.71717,                 1.0383,                0.41474,                0.30328,                0.24607,                0.13446,                  1.734,                 2.9374,                 1.8393,               0.000515,               0.000515,               0.000515
                     77,                0.77272,                0.80272,                 1.0416,                0.41474,                0.30328,                0.24607,                0.13446,                  1.734,                 2.9374,                 1.8393,              0.0004952,              0.0004952,              0.0004952
                     78,                0.73906,                 0.7818,                 1.0262,                0.44225,                0.28689,                0.24291,                0.13179,                 1.7363,                 2.9177,                 1.8302,              0.0004754,              0.0004754,              0.0004754
                     79,                  0.738,                0.70831,                0.99317,                0.38707,                0.31576,                0.23911,                0.12699,                 1.7342,                 2.9071,                 1.8468,              0.0004556,              0.0004556,              0.0004556
                     80,                0.78234,                0.73212,                 1.0247,                0.41872,                0.30409,                 0.2422,                0.12917,                 1.7411,                 2.9181,                 1.8644,              0.0004358,              0.0004358,              0.0004358
                     81,                0.79243,                0.76737,                 1.0129,                0.41872,                0.30409,                 0.2422,                0.12917,                 1.7411,                 2.9181,                 1.8644,               0.000416,               0.000416,               0.000416
                     82,                0.68667,                0.70829,                0.95206,                0.50941,                0.27049,                0.24106,                0.13071,                 1.7271,                 2.8858,                 1.8525,              0.0003962,              0.0003962,              0.0003962
                     83,                0.71765,                 0.6675,                0.97275,                0.44871,                0.28689,                0.25243,                0.14061,                 1.7123,                 2.8556,                 1.8302,              0.0003764,              0.0003764,              0.0003764
                     84,                0.70816,                0.65167,                0.97214,                0.51619,                0.26673,                0.25754,                0.14446,                  1.719,                 2.8555,                 1.8309,              0.0003566,              0.0003566,              0.0003566
                     85,                0.73031,                0.75235,                0.99808,                0.51619,                0.26673,                0.25754,                0.14446,                  1.719,                 2.8555,                 1.8309,              0.0003368,              0.0003368,              0.0003368
                     86,                 0.7645,                0.69964,                 1.0545,                0.51286,                0.27616,                0.25685,                0.14447,                 1.7187,                 2.8683,                 1.8372,               0.000317,               0.000317,               0.000317
                     87,                0.68795,                 0.6445,                0.96106,                0.54541,                0.27869,                0.25273,                0.14336,                 1.7363,                 2.8918,                 1.8506,              0.0002972,              0.0002972,              0.0002972
                     88,                0.71363,                0.64815,                0.95438,                0.51058,                0.28219,                0.24803,                0.13786,                 1.7511,                 2.9498,                 1.8635,              0.0002774,              0.0002774,              0.0002774
                     89,                0.68127,                0.69754,                   1.01,                0.51058,                0.28219,                0.24803,                0.13786,                 1.7511,                 2.9498,                 1.8635,              0.0002576,              0.0002576,              0.0002576
                     90,                0.78267,                0.84815,                 1.0853,                0.49809,                0.29508,                0.24673,                0.13252,                 1.7567,                 2.9929,                 1.8736,              0.0002378,              0.0002378,              0.0002378
                     91,                0.67371,                 1.4289,                 1.0901,                0.49047,                0.28689,                0.23279,                0.12637,                 1.7843,                 3.0189,                 1.8888,               0.000218,               0.000218,               0.000218
                     92,                0.66356,                 1.1257,                  1.008,                0.48064,                0.27869,                0.22732,                 0.1182,                 1.8312,                 3.0349,                 1.9319,              0.0001982,              0.0001982,              0.0001982
                     93,                0.68405,                0.74208,                 1.0063,                0.48064,                0.27869,                0.22732,                 0.1182,                 1.8312,                 3.0349,                 1.9319,              0.0001784,              0.0001784,              0.0001784
                     94,                0.63031,                0.69137,                0.92728,                0.51827,                0.26639,                0.22923,                0.11634,                 1.8504,                 3.0394,                 1.9728,              0.0001586,              0.0001586,              0.0001586
                     95,                0.67096,                0.65793,                0.96973,                0.52234,                0.28279,                0.23733,                0.11745,                 1.8529,                 3.0354,                 1.9874,              0.0001388,              0.0001388,              0.0001388
                     96,                0.65641,                0.79377,                0.98844,                0.53514,                0.27459,                0.23452,                0.11789,                 1.8305,                 3.0246,                 1.9707,               0.000119,               0.000119,               0.000119
                     97,                0.61404,                0.74456,                 0.9717,                0.53514,                0.27459,                0.23452,                0.11789,                 1.8305,                 3.0246,                 1.9707,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.62028,                0.83176,                0.94512,                0.54415,                0.27869,                0.23485,                0.11969,                 1.8128,                  3.005,                 1.9605,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.59915,                0.91061,                 1.0354,                0.52093,                0.28279,                0.23497,                0.11951,                 1.8018,                 2.9898,                 1.9522,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.54189,                0.58727,                0.86862,                0.57881,                0.28279,                0.23586,                0.12229,                 1.7878,                   2.98,                 1.9388,               3.98e-05,               3.98e-05,               3.98e-05
